title,weekend,gross,week
Jurassic World: Dominion,$59.0M,$249.8M,2
Lightyear,$50.6M,$50.6M,1
Top Gun: Maverick,$44.0M,$466.2M,4
Doctor Strange in the Multiverse of Madness,$4.4M,$405.3M,7
The Bob's Burgers Movie,$1.2M,$29.8M,4
The Bad Guys,$980K,$94.2M,9
Everything Everywhere All at Once,$960K,$64.9M,13
Downton Abbey: A New Era,$830K,$42.2M,5
Sonic the Hedgehog 2,$228K,$190.5M,11
Brian and Charles,$198K,$198K,1
